name,local_filename,image_url,status,file_url,license,license_url,artist,credit,usage_terms,commons_file_title
David Wiese,david_wiese.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/DAVID_WIESE_%2815702924581%29.jpg/500px-DAVID_WIESE_%2815702924581%29.jpg,missing_on_commons,,,,,File:500px-DAVID_WIESE_(15702924581).jpg
Wanindu Hasaranga de Silva,wanindu_hasaranga_de_silva.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Waniya.jpg/500px-Waniya.jpg,missing_on_commons,,,,,File:500px-Waniya.jpg
Chamika Karunaratne,chamika_karunaratne.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Chamika_Karunaratne.jpg/500px-Chamika_Karunaratne.jpg,missing_on_commons,,,,,File:500px-Chamika_Karunaratne.jpg
Mitchell Marsh,mitchell_marsh.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Mitchell_Marsh.jpg/400px-Mitchell_Marsh.jpg,missing_on_commons,,,,,File:400px-Mitchell_Marsh.jpg
Glenn Maxwell,glenn_maxwell.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Glenn_Maxwell_3.jpg/500px-Glenn_Maxwell_3.jpg,missing_on_commons,,,,,File:500px-Glenn_Maxwell_3.jpg
Marcus Stoinis,marcus_stoinis.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/2018.01.21.15.22.25-Stoinis_%2839081521620%29.jpg/500px-2018.01.21.15.22.25-Stoinis_%2839081521620%29.jpg,missing_on_commons,,,,,File:500px-2018.01.21.15.22.25-Stoinis_(39081521620).jpg
Josh Hazlewood,josh_hazlewood.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/2018_Josh_Hazlewood_%28cropped%29.jpg/500px-2018_Josh_Hazlewood_%28cropped%29.jpg,missing_on_commons,,,,,File:500px-2018_Josh_Hazlewood_(cropped).jpg
Pat Cummins,pat_cummins.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Pat_Cummins_fielding_Ashes_2021_%28cropped%29.jpg/500px-Pat_Cummins_fielding_Ashes_2021_%28cropped%29.jpg,missing_on_commons,,,,,File:500px-Pat_Cummins_fielding_Ashes_2021_(cropped).jpg
Mitchell Starc,mitchell_starc.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Mitchell_Starc_2023.jpg,ok,https://upload.wikimedia.org/wikipedia/commons/3/38/Mitchell_Starc_2023.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.youtube.com/@primevideoaunz"">Prime Video AU &amp; NZ</a>","<bdi lang=""en"" dir=""ltr""><a href=""//commons.wikimedia.org/wiki/Commons:YouTube_files"" title=""Commons:YouTube files"">YouTube</a>: <a rel=""nofollow"" class=""external text"" href=""https://www.youtube.com/watch?v=a1nWrBu8iOs""><bdi lang="""">Youtube video</bdi></a> – View/save archived versions on <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/*/https://www.youtube.com/watch?v=a1nWrBu8iOs"">archive.org</a> and <a rel=""nofollow"" class=""external text"" href=""https://archive.today/https://www.youtube.com/watch?v=a1nWrBu8iOs"">archive.today</a></bdi> <br> <a rel=""nofollow"" class=""external text"" href=""https://i.ytimg.com/vi/a1nWrBu8iOs/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBCKDwwDw==&amp;rs=AOn4CLDv-LsP3v2KDtFTT-pJoO5rHGqD0g"">Thumbnail of the video</a>",Creative Commons Attribution 3.0,File:Mitchell_Starc_2023.jpg
Ashton Agar,ashton_agar.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/2018.02.03.20.31.23-AUSvNZL_T20_NZL_innings%2C_SCG-0002_%2838618210190%29_%28Agar_cropped%29.jpg,ok,https://upload.wikimedia.org/wikipedia/commons/8/8a/2018.02.03.20.31.23-AUSvNZL_T20_NZL_innings%2C_SCG-0002_%2838618210190%29_%28Agar_cropped%29.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/125524007@N08"">www.davidmolloyphotography.com</a> from Sydney, Australia","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/125524007@N08/38618210190/"">2018.02.03.20.31.23-AUSvNZL T20 NZL innings, SCG-0002</a>",Creative Commons Attribution 2.0,"File:2018.02.03.20.31.23-AUSvNZL_T20_NZL_innings,_SCG-0002_(38618210190)_(Agar_cropped).jpg"
Sikandar Raza,sikandar_raza.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Sikandar_Raza_2022.jpg/500px-Sikandar_Raza_2022.jpg,missing_on_commons,,,,,File:500px-Sikandar_Raza_2022.jpg
Paul Stirling,paul_stirling.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Paul_Stirling.jpg/500px-Paul_Stirling.jpg,missing_on_commons,,,,,File:500px-Paul_Stirling.jpg
Harry Tector,harry_tector.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Harry_Tector_2022.jpg/500px-Harry_Tector_2022.jpg,missing_on_commons,,,,,File:500px-Harry_Tector_2022.jpg
George Dockrell,george_dockrell.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/George_Dockrell_2022.jpg/500px-George_Dockrell_2022.jpg,missing_on_commons,,,,,File:500px-George_Dockrell_2022.jpg
